"species","lon","lat"
"piaya_therma","-83.0350002","9.611022598"
"piaya_therma","-86.24333371","12.06935607"
"piaya_therma","-94.49333417","16.52768965"
"piaya_therma","-93.74333413","16.02768962"
"piaya_therma","-79.95166669","8.486022535"
"piaya_therma","-87.57666712","15.77768961"
"piaya_therma","-82.82666685","9.694355936"
"piaya_therma","-95.03500087","17.06935635"
"piaya_therma","-88.9516672","21.15268991"
"piaya_therma","-92.82666741","17.06935635"
"piaya_therma","-87.49333378","12.90268945"
"piaya_therma","-90.49333395","19.40268981"
"piaya_therma","-92.61833407","15.44435626"
"piaya_therma","-84.20166693","10.73602266"
"piaya_therma","-92.66000074","15.31935625"
"piaya_therma","-90.36833394","14.15268952"
"piaya_therma","-86.03500037","11.94435606"
"piaya_therma","-96.70166763","18.40268976"
"piaya_therma","-86.24333371","13.2360228"
"piaya_therma","-83.57666689","9.861022612"
"piaya_therma","-87.66000046","20.86102323"
"piaya_therma","-84.7850003","10.90268934"
"piaya_therma","-78.45166661","8.819355887"
"piaya_therma","-83.86833358","10.11102263"
"piaya_therma","-85.86833369","13.81935617"
"piaya_therma","-88.24333382","13.7776895"
"piaya_therma","-96.95166764","19.44435648"
"piaya_therma","-82.99333353","9.611022598"
"piaya_therma","-97.9516677","22.40268998"
"piaya_therma","-90.36833394","19.94435651"
"piaya_therma","-88.53500051","15.40268959"
"piaya_therma","-96.78500097","18.69435644"
"piaya_therma","-83.11833354","9.986022619"
"piaya_therma","-95.45166756","18.4860231"
"piaya_therma","-88.57666717","17.98602307"
"piaya_therma","-87.74333379","21.19435658"
"piaya_therma","-89.95166725","13.86102284"
"piaya_therma","-89.41000055","18.56935643"
"piaya_therma","-99.28500111","21.65268994"
"piaya_therma","-90.99333398","16.90268967"
"piaya_therma","-89.28500055","18.6110231"
"piaya_therma","-88.28500049","13.44435615"
"piaya_therma","-92.16000071","14.94435623"
"piaya_therma","-90.74333396","14.23602286"
"piaya_therma","-92.91000075","15.44435626"
"piaya_therma","-89.99333392","16.81935634"
"piaya_therma","-88.07666715","15.5276896"
"piaya_therma","-96.86833431","19.94435651"
"piaya_therma","-81.32666677","8.444355866"
"piaya_therma","-89.95166725","13.81935617"
"piaya_therma","-89.41000055","16.15268963"
"piaya_therma","-97.11833432","18.86102312"
"piaya_therma","-80.57666673","8.652689211"
"piaya_therma","-78.20166659","8.819355887"
"piaya_therma","-86.20166704","15.36102292"
"piaya_therma","-90.11833393","18.44435643"
"piaya_therma","-89.16000054","15.98602296"
"piaya_therma","-89.6183339","17.23602303"
"piaya_therma","-83.82666691","10.19435596"
"piaya_therma","-77.6599999","7.902689169"
"piaya_therma","-95.11833421","16.98602301"
"piaya_therma","-96.41000095","18.23602308"
"piaya_therma","-77.74333323","7.986022507"
"piaya_therma","-83.95166692","11.56935604"
"piaya_therma","-88.03500048","15.77768961"
"piaya_therma","-91.16000065","14.56935621"
"piaya_therma","-84.28500027","11.02768934"
"piaya_therma","-92.78500074","17.56935638"
"piaya_therma","-83.32666688","8.527689204"
